İlçe Adı;Yıl;Ay;Uygulama Sayısı
EDREMİT;2018;2;1
BALYA;2018;2;1
AYVALIK;2018;2;1
BANDIRMA;2018;1;15
ALTIEYLÜL;2018;1;1
BİGADİÇ;2018;1;3
EDREMİT;2018;1;2
KARESİ;2017;12;3
BANDIRMA;2017;12;9
MARMARA;2017;12;2
ALTIEYLÜL;2017;12;1
SINDIRGI;2017;11;1
KARESİ;2017;11;8
HAVRAN;2017;11;1
ALTIEYLÜL;2017;11;2
BİGADİÇ;2017;11;3
HAVRAN;2017;10;55
BANDIRMA;2017;10;12
EDREMİT;2017;10;6
SAVAŞTEPE;2017;10;17
GÖNEN;2017;10;3
ALTIEYLÜL;2017;10;26
HAVRAN;2017;9;38
SAVAŞTEPE;2017;9;1
KEPSUT;2017;9;34
ALTIEYLÜL;2017;9;157
İVRİNDİ;2017;9;1
DURSUNBEY;2017;9;11
BURHANİYE;2017;9;6
BİGADİÇ;2017;9;12
BALYA;2017;9;4
EDREMİT;2017;9;200
MARMARA;2017;9;2
SINDIRGI;2017;9;7
KARESİ;2017;9;9
GÖNEN;2017;9;1
AYVALIK;2017;9;93
BANDIRMA;2017;9;24
GÖNEN;2017;8;242
BİGADİÇ;2017;8;16
BURHANİYE;2017;8;18
BALYA;2017;8;22
MARMARA;2017;8;3
HAVRAN;2017;8;17
ALTIEYLÜL;2017;8;591
SAVAŞTEPE;2017;8;2
SUSURLUK;2017;8;52
KEPSUT;2017;8;46
MANYAS;2017;8;51
DURSUNBEY;2017;8;33
ERDEK;2017;8;1
EDREMİT;2017;8;538
SINDIRGI;2017;8;1
BANDIRMA;2017;8;66
AYVALIK;2017;8;5
KARESİ;2017;8;47
GÖNEN;2017;7;317
BURHANİYE;2017;7;28
BALYA;2017;7;23
KARESİ;2017;7;132
ALTIEYLÜL;2017;7;726
BİGADİÇ;2017;7;63
DURSUNBEY;2017;7;49
EDREMİT;2017;7;396
MANYAS;2017;7;70
BANDIRMA;2017;7;89
SINDIRGI;2017;7;4
KEPSUT;2017;7;153
AYVALIK;2017;7;41
GÖMEÇ;2017;7;1
SAVAŞTEPE;2017;7;17
HAVRAN;2017;7;62
ERDEK;2017;7;37
SINDIRGI;2017;6;85
ALTIEYLÜL;2017;6;790
MANYAS;2017;6;17
EDREMİT;2017;6;84
GÖNEN;2017;6;158
BİGADİÇ;2017;6;228
HAVRAN;2017;6;120
GÖMEÇ;2017;6;4
SAVAŞTEPE;2017;6;31
KARESİ;2017;6;150
BURHANİYE;2017;6;16
KEPSUT;2017;6;47
BANDIRMA;2017;6;50
AYVALIK;2017;6;42
DURSUNBEY;2017;6;35
SINDIRGI;2017;5;133
BANDIRMA;2017;5;4
KEPSUT;2017;5;25
GÖNEN;2017;5;86
EDREMİT;2017;5;29
ERDEK;2017;5;7
DURSUNBEY;2017;5;8
HAVRAN;2017;5;106
KARESİ;2017;5;38
AYVALIK;2017;5;3
ALTIEYLÜL;2017;5;188
MANYAS;2017;5;10
SAVAŞTEPE;2017;5;16
BİGADİÇ;2017;5;223
BURHANİYE;2017;5;16
AYVALIK;2017;4;8
KEPSUT;2017;4;16
EDREMİT;2017;4;17
GÖMEÇ;2017;4;2
HAVRAN;2017;4;10
KARESİ;2017;4;1
ALTIEYLÜL;2017;4;3
BİGADİÇ;2017;4;4
SAVAŞTEPE;2017;4;5
ALTIEYLÜL;2017;3;1
EDREMİT;2017;2;1
EDREMİT;2016;12;2
KARESİ;2016;12;1
BANDIRMA;2016;12;1
EDREMİT;2016;11;1
BURHANİYE;2016;11;2
ALTIEYLÜL;2016;11;25
HAVRAN;2016;11;2
BANDIRMA;2016;11;14
EDREMİT;2016;10;32
BİGADİÇ;2016;10;6
ALTIEYLÜL;2016;10;690
BURHANİYE;2016;10;8
BANDIRMA;2016;10;111
KARESİ;2016;10;17
MANYAS;2016;10;86
HAVRAN;2016;10;44
İVRİNDİ;2016;10;1
SAVAŞTEPE;2016;10;19
AYVALIK;2016;10;3
ERDEK;2016;10;51
MANYAS;2016;9;340
GÖNEN;2016;9;93
ALTIEYLÜL;2016;9;576
BALYA;2016;9;19
KARESİ;2016;9;121
BANDIRMA;2016;9;106
KEPSUT;2016;9;2
AYVALIK;2016;9;1
EDREMİT;2016;9;108
BURHANİYE;2016;9;32
BİGADİÇ;2016;9;1
SAVAŞTEPE;2016;9;175
ERDEK;2016;9;50
HAVRAN;2016;9;265
BANDIRMA;2016;8;82
MANYAS;2016;8;1446
ALTIEYLÜL;2016;8;667
AYVALIK;2016;8;8
KARESİ;2016;8;233
BİGADİÇ;2016;8;1
EDREMİT;2016;8;514
GÖNEN;2016;8;778
GÖMEÇ;2016;8;5
BURHANİYE;2016;8;29
ERDEK;2016;8;98
HAVRAN;2016;8;516
BALYA;2016;8;55
İVRİNDİ;2016;8;4
SAVAŞTEPE;2016;8;503
KARESİ;2016;7;28
BANDIRMA;2016;7;302
GÖNEN;2016;7;538
GÖMEÇ;2016;7;7
EDREMİT;2016;7;354
MANYAS;2016;7;158
SAVAŞTEPE;2016;7;508
SUSURLUK;2016;7;1
HAVRAN;2016;7;421
ERDEK;2016;7;102
AYVALIK;2016;7;10
ALTIEYLÜL;2016;7;963
BALYA;2016;7;41
BURHANİYE;2016;7;2
BİGADİÇ;2016;7;3
ERDEK;2016;6;117
SAVAŞTEPE;2016;6;621
AYVALIK;2016;6;8
BALYA;2016;6;64
HAVRAN;2016;6;436
GÖNEN;2016;6;514
EDREMİT;2016;6;440
SINDIRGI;2016;6;5
BANDIRMA;2016;6;223
KARESİ;2016;6;235
BİGADİÇ;2016;6;51
MANYAS;2016;6;594
İVRİNDİ;2016;6;5
ALTIEYLÜL;2016;6;1573
İVRİNDİ;2016;5;1
HAVRAN;2016;5;138
BANDIRMA;2016;5;165
ERDEK;2016;5;137
AYVALIK;2016;5;12
ALTIEYLÜL;2016;5;135
EDREMİT;2016;5;37
BİGADİÇ;2016;5;35
GÖNEN;2016;5;420
SAVAŞTEPE;2016;5;103
MANYAS;2016;5;170
KARESİ;2016;5;46
BURHANİYE;2016;4;3
BİGADİÇ;2016;4;53
ALTIEYLÜL;2016;4;152
SAVAŞTEPE;2016;4;47
MANYAS;2016;4;5
HAVRAN;2016;4;11
EDREMİT;2016;4;23
KARESİ;2016;4;28
