Date,Open,High,Low,Close,Adj Close,Volume
2003-12-29,4.045714,4.127857,3.842143,3.916429,3.916429,67032000
2004-01-05,3.892857,4.578571,3.875000,4.428571,4.428571,216480600
2004-01-12,4.445714,4.725000,4.366428,4.682857,4.682857,122980200
2004-01-19,4.698571,5.657143,4.655715,5.535714,5.535714,302667400
2004-01-26,5.464286,5.681428,4.906428,5.243571,5.243571,239968400
2004-02-02,5.300000,5.485714,4.949286,5.473571,5.473571,157943800
2004-02-09,5.517857,5.639286,5.002857,5.077143,5.077143,221113900
2004-02-16,5.157143,5.171429,4.650000,5.054286,5.054286,93131500
2004-02-23,4.842857,5.121428,4.322857,4.914286,4.914286,255229100
2004-03-01,4.907143,5.065714,4.618571,4.752857,4.752857,97479200
2004-03-08,4.728571,4.800000,4.191429,4.395714,4.395714,91391300
2004-03-15,4.332857,4.501429,4.080000,4.390000,4.390000,74635400
2004-03-22,4.292857,4.335714,3.952857,4.138571,4.138571,64722700
2004-03-29,4.392857,5.244286,4.304286,5.025714,5.025714,143125500
2004-04-05,5.008572,5.448571,4.972857,5.378572,5.378572,53131400
2004-04-12,5.422857,5.517143,4.174286,4.392857,4.392857,175462000
2004-04-19,4.275714,4.455714,3.860000,4.230000,4.230000,121542400
2004-04-26,4.217143,4.284286,3.595714,3.622857,3.622857,78939700
2004-05-03,3.614286,4.135714,3.612857,3.905714,3.905714,92096200
2004-05-10,3.778571,4.462857,3.725714,4.391428,4.391428,88825100
2004-05-17,4.241428,4.671429,4.195714,4.465714,4.465714,58236500
2004-05-24,4.465714,4.752857,4.442857,4.702857,4.702857,46253900
2004-05-31,4.627143,4.714286,4.422857,4.485714,4.485714,33893300
2004-06-07,4.531428,4.635714,4.368571,4.455714,4.455714,30795100
2004-06-14,4.355714,4.461429,4.080000,4.221428,4.221428,48433000
2004-06-21,4.221428,5.012857,4.050000,4.570000,4.570000,70665700
2004-06-28,4.610000,5.224286,4.557143,4.615714,4.615714,131690300
2004-07-05,4.521429,4.981429,4.488572,4.775714,4.775714,50782200
2004-07-12,4.761428,4.777143,3.265714,3.288571,3.288571,242546500
2004-07-19,3.128572,3.170000,2.801429,2.895714,2.895714,171369800
2004-07-26,2.881428,2.957143,2.642857,2.928571,2.928571,57172500
2004-08-02,2.834286,2.914286,2.180000,2.415714,2.415714,111207600
2004-08-09,2.375714,2.512857,2.094286,2.140000,2.140000,88319000
2004-08-16,2.124286,2.378572,2.101429,2.262857,2.262857,42860300
2004-08-23,2.310000,2.321429,2.111428,2.164286,2.164286,29962100
2004-08-30,2.145714,2.157143,1.978571,2.051429,2.051429,60524100
2004-09-06,2.394286,2.454286,2.110000,2.134286,2.134286,124435500
2004-09-13,2.157143,2.535714,2.152857,2.427143,2.427143,75663700
2004-09-20,2.471429,2.585714,2.357143,2.378572,2.378572,53949000
2004-09-27,2.355714,2.515714,2.132857,2.332857,2.332857,95642400
2004-10-04,2.472857,2.800000,2.392857,2.394286,2.394286,225540700
2004-10-11,2.404286,2.567143,1.422857,1.471429,1.471429,391507200
2004-10-18,1.514286,1.522857,1.381429,1.400000,1.400000,202972000
2004-10-25,1.417143,1.450000,1.321429,1.352857,1.352857,89839400
2004-11-01,1.354286,1.628571,1.335714,1.560000,1.560000,134922900
2004-11-08,1.601429,1.604286,1.475714,1.551429,1.551429,59829700
2004-11-15,1.582857,1.754286,1.475714,1.607143,1.607143,152726000
2004-11-22,1.587143,1.641429,1.525714,1.621429,1.621429,38319400
2004-11-29,1.657143,1.674286,1.578571,1.614286,1.614286,55249600
2004-12-06,1.614286,1.735714,1.592857,1.677143,1.677143,75742800
2004-12-13,1.727143,1.974286,1.708571,1.854286,1.854286,111065500
2004-12-20,1.894286,1.927143,1.588571,1.647143,1.647143,90294400
2004-12-27,1.692857,1.857143,1.638571,1.761429,1.761429,58847600
2005-01-03,1.800000,1.800000,1.571429,1.588571,1.588571,57183000
2005-01-10,1.585714,1.677143,1.504286,1.618571,1.618571,54310900
2005-01-17,1.627143,1.638571,1.560000,1.577143,1.577143,34727000
2005-01-24,1.572857,1.874286,1.538571,1.634286,1.634286,123282600
2005-01-31,1.620000,1.742857,1.600000,1.717143,1.717143,41566700
2005-02-07,1.704286,1.727143,1.582857,1.592857,1.592857,34106800
2005-02-14,1.614286,1.642857,1.490000,1.525714,1.525714,36368500
2005-02-21,1.514286,1.582857,1.430000,1.570000,1.570000,45732400
2005-02-28,1.582857,1.585714,1.500000,1.528571,1.528571,38303300
2005-03-07,1.527143,1.545714,1.338571,1.347143,1.347143,36341900
2005-03-14,1.345714,1.392857,1.300000,1.314286,1.314286,35525000
2005-03-21,1.321429,1.357143,1.272857,1.290000,1.290000,23130100
2005-03-28,1.378571,1.571429,1.357143,1.547143,1.547143,52154200
2005-04-04,1.565714,1.738571,1.501429,1.715714,1.715714,51667700
2005-04-11,1.720000,1.857143,1.642857,1.670000,1.670000,42017500
2005-04-18,1.684286,1.745714,1.554286,1.600000,1.600000,50796900
2005-04-25,1.614286,1.677143,1.585714,1.650000,1.650000,24700200
2005-05-02,1.647143,1.714286,1.617143,1.652857,1.652857,21512400
2005-05-09,1.642857,2.085714,1.635714,2.040000,2.040000,100779700
2005-05-16,2.068571,2.752857,1.950000,2.275714,2.275714,224835100
2005-05-23,2.255714,2.290000,2.021429,2.078571,2.078571,57167600
2005-05-30,2.077143,2.162857,2.028571,2.095714,2.095714,25300100
2005-06-06,2.078571,2.441429,2.057143,2.415714,2.415714,45530800
2005-06-13,2.385714,2.548571,2.314286,2.460000,2.460000,45815000
2005-06-20,2.428571,2.475714,2.107143,2.252857,2.252857,36491700
2005-06-27,2.264286,2.382857,2.235714,2.364286,2.364286,30857400
2005-07-04,2.337143,2.465714,2.295714,2.387143,2.387143,20256600
2005-07-11,2.401428,2.500000,2.285714,2.342857,2.342857,25659900
2005-07-18,2.295714,2.430000,2.294286,2.342857,2.342857,21158200
2005-07-25,2.342857,2.971429,2.342857,2.651428,2.651428,151061400
2005-08-01,2.670000,3.052857,2.607143,2.995714,2.995714,85353800
2005-08-08,3.015714,3.221429,2.921429,3.157143,3.157143,79716700
2005-08-15,3.124286,3.248571,2.985714,3.054286,3.054286,37118900
2005-08-22,3.070000,3.112857,2.948571,3.027143,3.027143,19049800
2005-08-29,3.007143,3.140000,3.000000,3.077143,3.077143,24422300
2005-09-05,3.077143,3.578571,3.064286,3.567143,3.567143,51450000
2005-09-12,3.597143,3.640000,3.307143,3.457143,3.457143,41025600
2005-09-19,3.478571,3.488571,3.214286,3.452857,3.452857,30823100
2005-09-26,3.445714,3.807143,3.350000,3.712857,3.712857,57441300
2005-10-03,3.711429,3.991429,3.622857,3.892857,3.892857,54863900
2005-10-10,3.914286,4.178571,3.834286,4.108572,4.108572,52248700
2005-10-17,4.114286,4.212857,3.654286,3.735714,3.735714,64941800
2005-10-24,3.782857,3.945714,3.401428,3.754286,3.754286,76005300
2005-10-31,3.678571,4.022857,3.632857,3.941429,3.941429,66054100
2005-11-07,3.955714,4.321429,3.924286,4.295714,4.295714,62104000
2005-11-14,4.300000,4.300000,3.890000,4.060000,4.060000,38716300
2005-11-21,4.040000,4.222857,3.971429,4.178571,4.178571,18732700
2005-11-28,4.071429,4.085714,3.815714,3.955714,3.955714,33267500
2005-12-05,3.928571,4.010000,3.654286,3.677143,3.677143,28081200
2005-12-12,3.678571,3.862857,3.220000,3.757143,3.757143,103766600
